year,id_,socfrend,satjob,satfin,mntlhlth,satself,afailure,slfrspct,ofworth,nogood,optimist,pessimst,notcount,moregood,owndoing,depndabl,hlth4,ballot
2004,4,1.0,1.0,1.0,15.0,1.0,4.0,3.0,1.0,4.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,Ballot b
2004,6,5.0,2.0,2.0,0.0,2.0,3.0,3.0,1.0,4.0,1.0,3.0,3.0,1.0,2.0,1.0,2.0,Ballot a
2004,7,4.0,1.0,2.0,5.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,Ballot c
2004,9,4.0,1.0,3.0,0.0,1.0,4.0,4.0,4.0,4.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,Ballot c
2004,15,3.0,2.0,2.0,0.0,2.0,4.0,4.0,1.0,4.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,Ballot a
2004,18,1.0,3.0,3.0,30.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,2.0,Ballot a
2004,21,4.0,2.0,3.0,14.0,2.0,4.0,4.0,1.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,Ballot c
2004,33,4.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,Ballot b
2004,37,4.0,1.0,1.0,5.0,1.0,4.0,4.0,1.0,4.0,2.0,4.0,4.0,1.0,2.0,1.0,2.0,Ballot c
2004,39,4.0,2.0,1.0,5.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,Ballot a
2004,40,2.0,4.0,3.0,0.0,3.0,3.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,Ballot b
2004,42,4.0,4.0,2.0,0.0,1.0,4.0,4.0,1.0,4.0,2.0,4.0,4.0,2.0,2.0,1.0,2.0,Ballot c
2004,43,4.0,3.0,3.0,0.0,1.0,3.0,4.0,1.0,4.0,1.0,4.0,4.0,1.0,2.0,1.0,2.0,Ballot a
2004,50,3.0,2.0,3.0,1.0,2.0,3.0,2.0,1.0,4.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,Ballot b
2004,51,2.0,1.0,2.0,0.0,2.0,4.0,4.0,1.0,4.0,2.0,2.0,4.0,2.0,2.0,1.0,2.0,Ballot a
2004,58,3.0,1.0,1.0,0.0,2.0,4.0,3.0,1.0,4.0,1.0,3.0,3.0,2.0,2.0,1.0,2.0,Ballot a
2004,76,1.0,1.0,2.0,0.0,1.0,4.0,4.0,2.0,4.0,1.0,3.0,4.0,4.0,2.0,5.0,2.0,Ballot b
2004,77,2.0,1.0,2.0,1.0,1.0,4.0,3.0,1.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,Ballot b
2004,81,4.0,1.0,1.0,0.0,1.0,4.0,3.0,1.0,4.0,1.0,4.0,3.0,1.0,1.0,1.0,2.0,Ballot c
2004,85,4.0,2.0,2.0,7.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,1.0,4.0,2.0,Ballot a
2004,86,5.0,2.0,1.0,0.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,Ballot b
2004,91,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,Ballot b
2004,100,2.0,4.0,3.0,25.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,Unknown,3.0,2.0,Ballot a
2004,101,4.0,1.0,1.0,0.0,2.0,4.0,4.0,1.0,4.0,1.0,4.0,4.0,1.0,2.0,2.0,2.0,Ballot c
2004,102,5.0,1.0,1.0,0.0,1.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,1.0,2.0,1.0,2.0,Ballot a
2004,107,5.0,2.0,1.0,0.0,1.0,4.0,4.0,1.0,4.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,Ballot b
2004,109,4.0,1.0,1.0,0.0,1.0,4.0,4.0,1.0,4.0,1.0,4.0,4.0,1.0,2.0,3.0,2.0,Ballot a
2004,118,4.0,1.0,1.0,0.0,2.0,4.0,4.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,Ballot a
2004,119,5.0,2.0,3.0,0.0,1.0,3.0,3.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,Ballot b
2004,121,4.0,2.0,2.0,1.0,1.0,3.0,4.0,1.0,3.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,Ballot c
2004,123,4.0,1.0,2.0,0.0,1.0,4.0,4.0,1.0,4.0,1.0,4.0,4.0,1.0,2.0,1.0,2.0,Ballot c
2004,124,4.0,2.0,2.0,0.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,Ballot c
2004,126,4.0,1.0,2.0,1.0,2.0,3.0,4.0,2.0,4.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,Ballot a
2004,128,4.0,2.0,1.0,0.0,1.0,4.0,4.0,1.0,4.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,Ballot c
2004,132,4.0,2.0,3.0,7.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,2.0,Ballot c
2004,134,5.0,2.0,1.0,1.0,1.0,4.0,3.0,2.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,Ballot b
2004,137,4.0,2.0,2.0,0.0,1.0,4.0,3.0,2.0,3.0,2.0,3.0,4.0,1.0,2.0,1.0,2.0,Ballot b
2004,138,1.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,3.0,2.0,2.0,3.0,3.0,2.0,1.0,2.0,Ballot a
2004,145,2.0,1.0,1.0,15.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,Ballot b
2004,147,5.0,1.0,1.0,0.0,1.0,4.0,4.0,1.0,4.0,1.0,4.0,4.0,1.0,2.0,1.0,2.0,Ballot a
2004,150,4.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,4.0,2.0,3.0,3.0,1.0,2.0,1.0,2.0,Ballot c
2004,153,3.0,2.0,2.0,0.0,1.0,4.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,Ballot b
2004,157,5.0,2.0,2.0,0.0,2.0,4.0,4.0,1.0,4.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,Ballot b
2004,158,4.0,2.0,2.0,1.0,1.0,4.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0,2.0,1.0,2.0,Ballot c
2004,161,2.0,2.0,2.0,0.0,1.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,Ballot a
2004,162,4.0,1.0,2.0,0.0,2.0,3.0,3.0,1.0,3.0,2.0,3.0,4.0,1.0,2.0,5.0,2.0,Ballot b
2004,164,4.0,2.0,2.0,0.0,1.0,4.0,4.0,1.0,4.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,Ballot c
2004,170,3.0,1.0,1.0,0.0,1.0,4.0,3.0,2.0,4.0,2.0,4.0,4.0,1.0,2.0,2.0,2.0,Ballot b
2004,172,4.0,4.0,2.0,5.0,1.0,4.0,4.0,1.0,4.0,1.0,3.0,3.0,1.0,2.0,1.0,2.0,Ballot c
2004,173,5.0,1.0,2.0,1.0,2.0,4.0,3.0,1.0,4.0,1.0,4.0,1.0,3.0,2.0,2.0,2.0,Ballot b
2004,180,4.0,1.0,2.0,0.0,1.0,4.0,3.0,1.0,4.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,Ballot c
2004,186,4.0,1.0,2.0,0.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,1.0,2.0,1.0,2.0,Ballot b
2004,190,4.0,1.0,1.0,0.0,2.0,4.0,4.0,2.0,4.0,1.0,3.0,3.0,1.0,2.0,1.0,2.0,Ballot c
2004,196,5.0,1.0,3.0,5.0,1.0,3.0,3.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,Ballot b
